"HolderAddress","Quantity","PendingBalanceUpdate"
"0x0f8361ef329b43fa48ac66a7cd8f619c517274f1","1","No"
"0x1f9f2cea24f8abf8c6f1a159989f39a0624a7cd9","1","No"
"0x4c77de2ebfec748b948b2a2a2b4aba5083af3339","1","No"
"0x062132d1fec4fdc336b44c8b82a8d688f92add8c","1","No"
"0xe6983056e37f3d13a58bf59ccf71ced553f6c21f","1","No"
"0x4cafad19a180a1ded8030fbe58d11e566ea4ca1f","1","No"
"0xe5de835405edc53a2f370b217aba4200abeda20a","1","No"
"0xbbd45781ac12e6ab352d09d0b78ebc2ff8f9d2bd","1","No"
"0xcc88c05c444226ab6c793a46fb3ab505eef941b5","1","No"
"0x8ac128b670b4fdda8fd4ff8cea5b2a1ba97ba246","1","No"
"0xec13489d022102dde8234d8c22b25b0bed2e7b54","1","No"
"0xa76163ed21ab15bbc95f1c2e3125494937ede32e","1","No"
"0xdca368fd5c83470684c8eae069b6c7073df23132","1","No"
"0xab7b49bacd43bd4cfa41433d477f690bb9e1fb26","1","No"
"0xd24a5b3a49ec2ed0dace25f1debed07e340befc9","1","No"
"0x1aab5ad27515409cf96f8ee10c41e2fd8f0365dd","1","No"
"0x6c89e3a9df0d4be20ce685281c0096b05617fd8a","1","No"
"0xcaeb4cd829cac097772ba5647177a4c8780197e8","1","No"
"0x448fda59cda7c93d8e4476acf0847f27e9e2c605","1","No"
"0x5b74f72c10863f4104a1d2970894878420fad585","1","No"
"0xa94fed541bdc4c82a02db3c926dfcc85d63d526c","1","No"
"0xc4fb550fa8f2a6e5178711e56d5b48dedf897e5e","1","No"
"0x72ddc7cf64f8b5c899262674f565e5a4d759d886","1","No"
"0x616b1bc6875255bc323830722135ee3a3db5c75c","1","No"
"0xe92d559f99857114c610abef473c31be38e4a08b","1","No"
"0x5f1dbf6b9dba1b53da4d7d08996bc866ee9e93e3","1","No"
"0xa79f69d88679b98747fd58737eb2e0291c6e3d2d","1","No"
"0xf4ed23d21b252f0f210e64228ce4d004076de74f","1","No"
"0xcd5561b1be55c1fa4bba4749919a03219497b6ef","1","No"
"0x2ab4454f339f738e34ddf839f04d8b0abb014632","1","No"
"0x0d1456a83ce96e010db1fcba4e71bbc6c3a18452","1","No"
"0xb676d03c31653d86fd463059783e119df88e69de","1","No"
"0x95d8ac20b2377a00fcda7cf56709c4570edd40b7","1","No"
"0x6d25a1e9e176ab058e0f19e67bcbcaac2be96fa9","1","No"
"0x924f17026ab7e01147f892c3684c85f758775701","1","No"
"0xf8afa6338e9fabafc49469c32f5fbfe911ea7c04","1","No"
"0x39643f31647d78fe1ccfbd9b95c1155262a0f55c","1","No"
"0x060bbb0bcc744293a1e7df8dd7cc2ec81951bf94","1","No"
"0xda428be4f8e0ec294fc0647690073895f406c659","1","No"
"0xca23efd643660d5502c9096464e465d9c06ff56c","1","No"
"0x1dcb6aca2949a1ba6bc576c46c6f1da1b3ea6dd0","1","No"
"0xd6c0f3032b7876b504943cd5252c485d3168a849","1","No"
"0x9ae9b5e208dea9bffb62e1c88ea864eeca85e1ef","1","No"
"0xf335baa6e6ad984150a8526238808d2bff69869d","1","No"
"0x016d4da7c7cd614cd50149a373873ff090b9782e","1","No"
"0xd5b6b09a76ec1278f10e9ccbb1709f7f75cee125","1","No"
"0x495e06704e9c01199b0b83998d9160b305043234","1","No"
"0xec360a3b85a2229e2b9d0d965baa224fadd455fe","1","No"
"0xf3637714f1da3c899407b2130fbf2250c3fd74ae","1","No"
"0x3ba89593f94ee0480650bed3160f212cdfbd2ead","1","No"
"0xbe02293e12ee9fd9cb185f7bb5a9031f81781df7","1","No"
"0xb86141f68ea86eb20bb523bfe20b35839dca1157","1","No"
"0xae78b03aeec6e077a7fe4fa0b341284d0b0560fa","1","No"
"0xe6a630eacdc5a3621cbaf81c401fc34b4a7e4656","1","No"
"0xa995e316d4ae8c6d65dc055b68d0292fa0d24fa4","1","No"
"0x8a1890c305b1d583dcf19cfd208c52c23fac8d74","1","No"
"0xa96f69fcbf440ecd0a50e8bc351a59909398f6e6","1","No"
"0xc957e4ef89e5cc8b90ec42309fd5335615282a0b","1","No"
"0x8620459f4f82a495a65672db10e3f952f46bdee2","1","No"
"0xd45672a1300867a072a4c5a8d3ea8e9f41f85ada","1","No"
"0xb149827a0e8e7826a4cce3ecaf2e74ddc42b14f8","1","No"
"0x4bd0ba218b482a391a1e51cf4779ce04b60fd722","1","No"
"0x1ed71ca675436a301a10a3adc53e00a7bd2145a1","1","No"
"0x973c7026aff6f21b8df1d8228cb408c06ff7c7a7","1","No"
"0xb36617313528b5f5e195f681ffc87ed84273a92a","1","No"
"0x2d01964aea138c35433a29aaf96669796f884fbc","1","No"
"0xd05c9152117bb6244dbe5dc3bc23ff9ead8b0ce0","1","No"
"0x58d1c86922d050a129c78f76f1f91e73cf8b51ac","1","No"
"0xb84066fd214ac2b7ed1d606cd32835287840f826","1","No"
"0xcc707819708a144713dad266f22836ee4379ffc0","1","No"
"0x9ce2345707bc2eaf6015b879f30cbd301087c0b1","1","No"
"0xb30845c026325b993530eb89b3654fd596b5f2ba","1","No"
"0x66c844593c4d4859ae3cca5cf23040506f8ea801","1","No"
"0x75ca45395213e62db2906a1653f601072c63876c","1","No"
"0x55c464db5f62727439f1640955f911f5e5fb3433","1","No"
"0x890c4e184711df8d27a8afa5b626631c7c35757e","1","No"
"0xa2486e3e0964801d9e2519e324ade753c0c41f2f","1","No"
"0xccc93c66c6e80bf3d68bc63f546cbb42ab4895d6","1","No"
"0x014607f2d6477badd9d74bf2c5d6356e29a9b957","1","No"
"0x03369f6db2e2e77a2ef92b6295d6989cd68b8491","1","No"
"0x294388d7f62065784666f797ca6919a4b8cef4ab","1","No"
"0x29db953a27d602889ab11032bb1505801c987c49","1","No"
"0x00de3a8bdee6e682c3509d66a947d05a8ca797af","1","No"
"0x13b28fd1df2ec7dc8efabe7f15e2e7a8527c6e8f","1","No"
"0x5a375320f86c456d6b33498f8958531677dc880b","1","No"
"0x2bb6f794fa75dba6cc43e04c2e8818569bbcb830","1","No"
"0x9fd0302685041a2da452a69af947d3fcc8db75de","1","No"
"0xded91aa5e503764c8f2c24d1042078226092cb24","1","No"
"0x63cd5c7383ce8fe645e853db1813edbe54464119","1","No"
"0xc9939d399d77b0e0d947936e235b9e3ead77e2a9","1","No"
"0x10faa4db982b861ad4be47b2b94c5b4c6f1969d8","1","No"
"0x70d43f3f858aea98dc54306ead97e98bcf571b1b","1","No"
"0x58944799b0fdf8f13f134724741967c45f329ba3","1","No"
"0x73a4b191658d8b0a78a8001d79f9af03280c666a","1","No"
"0xb8a9c37240e8b72f42a88f1099e6c61dc3e96756","1","No"
"0xcd5c1bb777c937d993bc5e16e48b1669becc77aa","1","No"
"0x83fe5c3e4c020d80ab35b25cd40bc7cd3c66640f","1","No"
"0xb86c267d0b02a961caf3a6b530f3e1542612a6f2","1","No"
"0x3d0d364a3c7eecbea4a26ba4b18de44385e2b941","1","No"
"0xccd9f484c21653ffb13469e8670e722581018a15","1","No"
"0x82a1d70894b5a4df75b3d5f07b683f7e9b5a5194","1","No"
"0xde9672bd224c1386dda61db911de733f8e1eca9c","1","No"
"0x48dc139fcd166a7d9696f4e8362dee51a57a1431","1","No"
"0x407292ca2a8bf268f39098376c922b2b15cfff09","1","No"
"0x366e58737164430af4aed2856840be9bb148bdc7","1","No"
"0x6a62a664974939513f165703e76ab8e16ac8eb17","1","No"
"0xda8c0dc17495e84e86b37c77d713acacaae83cf2","1","No"
"0xd2208b5c2091d8c847d246509ed306bd6be9d200","1","No"
"0x130cef54df606018bfbd642b77c9d8fe70af09cd","1","No"
"0x2e5300eabf71950b00ddd6a59690cfd8852ad3b9","1","No"
"0x17dfd18987b6b131686fea478600b75d11193335","1","No"
"0x1ba1ff69f03d38af7ef40e3afdc53ad073eb4642","1","No"
"0x8307c24da8f8562be3156374c28f886d30b42947","1","No"
"0xfcb12c913e4a66e37ff42dbc3a920d2670a5b204","1","No"
"0x8fa3232ff0a45de66f1810096189a0f6f4ea8724","1","No"
"0xe7cf8fce5e83e07e56e2ebfeb7651f459c47217b","1","No"
"0x4131826eafdcb7dcd855fae9098ec693165f157d","1","No"
"0xf507555538fd0537922e70817780908ad132d3eb","1","No"
"0xab06e86d240a5f515ea6d16c3530c6596f8bb774","1","No"
"0xe40987f8ca51d3f72947400a7459e66db2715bc1","1","No"
"0x27a69ffba1e939ddcfecc8c7e0f967b872bac65c","1","No"
"0x04b6ea5a19b8945eddc4a141408ec34c2a55a34e","1","No"
"0x1bbd33a95889c76931ddcd072c2f74b12cf4af17","1","No"
"0x57748ecb251f2ec36027bf8b7b2c13b69b8e5222","1","No"
"0xb2f456886367c8e50566377ec6d9293d4da5bb81","1","No"
"0x0608ea05f2272bd4da79a8d8262ce9e3dfa5e3fa","1","No"
"0x05f78c7f3e79c3a6c453d188b013e3812e52cabb","1","No"
"0x9b681730a8ae661d0f0cbb5b6375380f10b0befd","1","No"
"0xf5b18c7bb5d760a7c899e0c48d855dc5a49f1949","1","No"
"0x327b9dee1830f8201efa751fd96f7b1ad0b300a1","1","No"
"0x66b190d7efe49fc082e8872a9c8ace703dc80588","1","No"
"0xdb57f1613ef9d26af65bcc5dd197a9f31a5aa091","1","No"
"0x50c2b9c3acda872dd71d88aa2c198aed0b788e5b","1","No"
"0x0b41b1a7e107e2b126ce02d54f163531164e7894","1","No"
"0x7824d7ae24ee595750e970afe61123573ad3ad27","1","No"
"0xe07e4b9ca25bcea42fe5410f5b9364916493cff0","1","No"
"0xf201b83ab58b2e72cdcf8ffffd05fdc43032abee","1","No"
"0x2bbedc3f5096ac732abf974ad54e41ac61c1f5b2","1","No"
"0xc20edb73c8af7da072e45f3d364d1504f80bab0c","1","No"
"0x6caf4eeebbe18f85ece1de8ecbdf31ae1c53ded5","1","No"
"0x7302c7e150ae4d035cf9e71f09580d59ce61fa54","1","No"
"0x4c7f1f1354b03fd1ace3f549977f8e848ec430e4","1","No"
"0xff6b985d17ac578b5e8dbad4659dd970483b08e8","1","No"
"0xdadef4b1f0f542193edd7345a762bad5c12a7375","1","No"
"0xb43f8f3c1b2e4ccfd9535a0501dd857bac7b7c21","1","No"
"0x8b100a07903a36587df5b333cf65120e82c9eeb5","1","No"
"0x9a8dad4b5025bef44a5622a850f1e946b58c5cc7","1","No"
"0xd2516a2222ad632b271bf5a0d50c2482dfb4123f","1","No"
"0xc39c8e7f820ac3b32283bccfe367870a290f9035","1","No"
"0x4dbfce0d1e297524631b6a26852572380cd56aad","1","No"
"0xff0ed55765e30d6479da6919d15db2fc9410299e","1","No"
"0x4c8067db4933e00e9b7638d3d66d2b58181887c1","1","No"
"0xb7919ad276b1e77e29b8ae75837517a1522f8d0a","1","No"
"0xcbcc36af59675e7b291dcbcf7c5adc7b9894969d","1","No"
"0xf567a2325429ac5aac4f6fe6aa99e208baab71ff","1","No"
"0x7ee58c703c3a93838b2e86639fee62d3815b6bac","1","No"
"0x9af46bec9987a7f71a60e53f846747e7ab522d8d","1","No"
"0xa4b388f778ff8e1e024dde9ed129a82354692eed","1","No"
"0x0279e4db6596933aab0d7d3a11c74b01fd44e344","1","No"
