owner,tickLower,tickUpper,netMarginDeposited pre Rewards,netMarginDeposited,realizedPnL,seized for rPnL,balance after rPnL,unrealizedPnL,seized uPnL,final rpnl settlement,upnl settlement,takeHome
0x6f4d57fc7d8abf27b00189d7a7eaedd00a8031ef,-26400,0,2,2,-3.55657354,2,0,1.58725433,0,0,0.2829159008,0.2829159008
0x0f8f5c608911bb3d0113af92561937c43477e3f7,-26400,0,1.101509,1.101509,-0.2075249807,0.2075249807,0.8939840193,0.09260777264,0,0,0.01650662463,0.9104906439
0xdc1a0976e2a0d2f5ff316f102591e6a24a47f247,-27060,-6960,4.403347,4.403347,-9.723616674,4.403347,0,4.336885201,0,0,0.7730164977,0.7730164977
0xab85fdcd46ff464bcbe874e2e3d283213f38496e,-34020,0,1,1,-0.5324363737,0.5324363737,0.4675636263,0.2374750913,0,0,0.0423281122,0.5098917385
0x25d21b232bac2be2c6f0bc341c4b7b3237f6538e,-25680,0,26,26,-51.82969416,26,0,23.11686796,0,0,4.120404272,4.120404272
0xda1930fbb7bfb1639bf470ab43f241d059e27d35,-25680,0,0.889153,0.889153,-1.805913727,0.889153,0,0.8054657827,0,0,0.1435680931,0.1435680931
0xdc1a0976e2a0d2f5ff316f102591e6a24a47f247,-27060,0,1.444252,1.444252,-2.934910213,1.444252,0,1.309015883,0,0,0.2333220333,0.2333220333
0x25d21b232bac2be2c6f0bc341c4b7b3237f6538e,-26400,0,1.6,1.6,-3.096143693,1.6,0,1.380929332,0,0,0.2461400536,0.2461400536
0x11cbd3d600295fbe2cde5332c8a2de281c8a62ac,-26400,0,1,1,-2.028826934,1,0,0.9048121504,0,0,0.1612758206,0.1612758206
0xc2a5ae269a158066a922d6f6be1c9e2192f0d49b,-26400,-6960,9.128252,9.128252,-19.8425366,9.128252,0,8.84854446,0,0,1.57718513,1.57718513
0xd4898f39da0b537c1676e5981cc7456b4b22c261,-25260,-9180,4.4,4.4,-12.47469814,4.4,0,5.562958213,0,0,0.9915546009,0.9915546009
0xc2a5ae269a158066a922d6f6be1c9e2192f0d49b,-25680,-6960,4.668535,4.668535,-10.14764043,4.668535,0,4.525220205,0,0,0.8065857666,0.8065857666
0x33e987adff9a5c6a5cea2040ff58b4a59749d8e9,-26400,0,1.31,1.31,-1.815466526,1.31,0,0.8095858279,0,0,0.1443024596,0.1443024596
0xfd24a765aa3f0ded6f37c9982d3a7580810bd540,-25680,0,0.357676,0.357676,-0.72277045,0.357676,0,0.3223109349,0,0,0.05744945013,0.05744945013
0x14c1717772cbcf39d4700596a94668e6c6d98d89,-25680,0,1.463272,1.463272,-3.012379146,1.463272,0,1.343221841,0,0,0.2394189828,0.2394189828
0x147c0d7f60d3ebaf234ffb8a139e47ae345842a1,-25680,0,1.316175,1.316175,-2.711141231,1.316175,0,1.208899657,0,0,0.2154770845,0.2154770845
0x2bfbf378a06bdbf27705680c60fcd8533b8a2633,-25680,0,1.026393,1.026393,-2.108665402,1.026393,0,0.9402552887,0,0,0.1675932879,0.1675932879
0x2e7a565c7eeb5450fc33d19df50b9230a8809347,-26400,-6960,2.612103,2.612103,-5.954412617,2.612103,0,2.6550765,0,0,0.4732470061,0.4732470061
0x13914372427e54d94d798b55f82a15323f040edd,-27060,0,0.645349,0.645349,-0.3266901803,0.3266901803,0.3186588197,0.145581727,0,0,0.02594882537,0.3446076451
0x05dda91d1ce6dc97f5a4877efcef60b57efecd72,-27060,0,1.224243,1.224243,-0.7134207182,0.7134207182,0.5108222818,0.3179190148,0,0,0.05666662408,0.5674889059
0x714677774a9589fbb52c90948b990c1fb6e589e7,-25680,0,2,2,-3.621973572,2,0,1.614046579,0,0,0.2876914135,0.2876914135
0xc02fbf65ee5b032a3e2352391e99a3ed03e76bef,-27060,0,3,3,-4.732884716,3,0,2.105760826,0,0,0.3753357037,0.3753357037
0xbd67af7463dc85379f278be85a57fa33ccbeadd9,-27060,-6960,5.5,5.5,-11.76034872,5.5,0,5.232428659,0,0,0.932640245,0.932640245
0xd17677509edf1c460208ec06bd18763869139c8c,-27060,0,1,1,-0.2969885158,0.2969885158,0.7030114842,0.1321364918,0,0,0.0235523154,0.7265637996
0xeb04fd6ecf47e854d76bd72c8b6e3bd952f96de2,-25680,0,7.800781,7.800781,-15.77466758,7.800781,0,7.018484293,0,0,1.250990952,1.250990952
0x89b9e7e32f51e0c40c7e42e8aa661e45fcb5a258,-25680,0,8.835769,8.835769,-20.88104495,8.835769,0,9.414286121,0,0,1.678024238,1.678024238
0x15a3170d89b51d1b2f2d694b6a4d2ca29de8e6a0,-25560,0,2.979236,2.979236,-6.047399547,2.979236,0,2.686828346,0,0,0.4789065289,0.4789065289
0x79d037b1f7d3c6d5bc5e67e3bf5b44ed6117a6fa,-27060,0,2.624981,2.624981,-0.5924142444,0.5924142444,2.032566756,0.2673320751,0,0,0.04764989038,2.080216646
0x220005f7983fdf5374ab62f1452b53883f179de0,-25680,0,12.896132,12.896132,-40.09603116,12.896132,0,18.1419071,0,0,3.233655686,3.233655686
0x15a3170d89b51d1b2f2d694b6a4d2ca29de8e6a0,-25680,0,6.382193,6.382193,-18.59290871,6.382193,0,8.414280582,0,0,1.499780927,1.499780927
0xa1551c98a14f36631ac8737bb21ffe4d6c57d987,-25560,0,8.819098,8.819098,-27.42065113,8.819098,0,12.42514485,0,0,2.214686696,2.214686696
0x219333ca4149d2034581eba7a2d1dfc827f76218,-25680,0,7.637178,7.637178,-23.25329474,7.637178,0,10.55223338,0,0,1.880854602,1.880854602
0xd89246a4cf616d18d581007eb7d78a0187a55ec0,-27060,0,1,1,-1.821424308,1,0,0.8037407583,0,0,0.1432606208,0.1432606208
0x0640c76e864607fbfba6edd293f958cccfc5c2bb,-27060,0,1,1,-0.1820821613,0.1820821613,0.8179178387,0.08273675432,0,0,0.01474719138,0.8326650301
0x57c1f4ffa768d221bb5f04d6481cf98bac134eb0,-25680,-10980,1.5,1.5,-2.040474139,1.5,0,0.9273322016,0,0,0.1652898469,0.1652898469
0x2112619014b5b2c0cc1f12c928f06f1b6adc2f1e,-25680,-10980,1,1,-2.040474139,1,0,0.9273322016,0,0,0.1652898469,0.1652898469
0xd4c65e5ad014c22f35ce88ca64d2dddd63f368a3,-25680,-10980,1,1,-2.040474139,1,0,0.9273322016,0,0,0.1652898469,0.1652898469
0x64674361022b53cef5d8112059b2f3f1f73d0488,-25680,-10980,1,1,-2.040474139,1,0,0.9273322016,0,0,0.1652898469,0.1652898469
0x313e92bdae5c58e284752186fb21000e0749146a,-25680,-10980,1.4,1.4,-2.720632185,1.4,0,1.236442935,0,0,0.2203864624,0.2203864624
