owner,tickLower,tickUpper,Margin,Pending Settlement Cashflow,seized margin,surplus margin,Balance pre Protocol contribution,Protocol contribution,takeHome
0x7f757b82d59c6c209616dcf911644f19e5ccf518,-23040,6960,0.584742,-2.39792,0.584742,0,0,0,0
0x7f757b82d59c6c209616dcf911644f19e5ccf518,-69060,0,0.664732,-29.58429,0.664732,0,0,0,0
0x7fb653f2f5a3ffa425f8e9a9efdff6778217ae26,-69060,0,0,0,0,0,0,0,0
0x7fe33cb8beb6e3f4d92cd7fc337fc0abbeeb830a,-13200,-11460,218.964955,-218.964954,218.964954,1.00E-06,9.83E-07,1.66E-08,1.00E-06
0x7fe33cb8beb6e3f4d92cd7fc337fc0abbeeb830a,-13740,-12060,0,0,0,0,0,0,0
0x7fe33cb8beb6e3f4d92cd7fc337fc0abbeeb830a,-14220,-12720,0.000001,0,0,0.000001,9.83E-07,1.66E-08,0.000001
0x7fe33cb8beb6e3f4d92cd7fc337fc0abbeeb830a,-14760,-13320,0,0,0,0,0,0,0
0x80452c6ff94df1c341130250c40806c81fb01992,-13800,-12360,1106.150565,-47.19318,47.19318,1058.957385,1041.394098,17.56328723,1058.957385
0x811ac20a93a66b9195bcf1aa5e66f069d4471382,-13020,-12480,6.426111,0,0,6.426111,6.319531042,0.1065799577,6.426111
0x81b0cbbbc1a69bd7ceca46a61684103bd9a6fb21,-16320,-6720,1004.985665,-14.26549,14.26549,990.720175,974.2886328,16.43154224,990.720175
0x81b0cbbbc1a69bd7ceca46a61684103bd9a6fb21,-69060,0,5007.000576,205.605407,0,5007.000576,4923.957207,288.6487764,5212.605983
0x821d92e6e62a2004e2cec914c23a9f346add0331,-13860,-11640,177.709351,-138.822085,138.822085,38.887266,38.2423031,0.6449628966,38.887266
0x83fc6186feb5734b7356e9884415a71110810f93,-69060,0,0,0,0,0,0,0,0
0x87b675e9219a3b870df51449268b8c8c2241bf0c,-10980,-6960,1100,0,0,1100,1081.756002,18.24399757,1100
0x87b675e9219a3b870df51449268b8c8c2241bf0c,-69060,0,0.000687,0.01311,0,0.000687,0.0006756057942,0.01312139421,0.013797
0x8835d7deaab3b049f9e73fdde52b18a8d8f8e82a,-15060,-13380,20.000038,-0.003944,0.003944,19.996094,19.66444974,0.3316442639,19.996094
0x8901083bb577b335a5f6fddde705c00efe8c33d9,-10980,-6960,0.029375,0,0,0.029375,0.02888780234,0.0004871976623,0.029375
0x8901083bb577b335a5f6fddde705c00efe8c33d9,-69060,0,0.001257,1.428237,0,0.001257,0.001236152086,1.428257848,1.429494
0x8a45806606b96bd39af47ec8943d3b18ac51ba6e,-16080,0,0.29146,-0.150351,0.150351,0.141109,0.1387686434,0.002340356593,0.141109
0x8a45806606b96bd39af47ec8943d3b18ac51ba6e,-69060,0,0.758578,-1.357836,0.758578,0,0,0,0
0x8c9d6173cd7a77dd71e1a4e67c5cfeda424e6242,-69060,0,510,-0.004072,0.004072,509.995928,501.5374148,8.458513154,509.995928
0x8c9d6173cd7a77dd71e1a4e67c5cfeda424e6242,9180,16080,1001.1751,0,0,1001.1751,984.5701581,16.6049419,1001.1751
0x8e0caec3c8380a249c82fd7b4e8d3f98941a20ff,-23040,23040,0.000001,0,0,0.000001,9.83E-07,1.66E-08,0.000001
0x8e0caec3c8380a249c82fd7b4e8d3f98941a20ff,-69060,0,0.000017,0.000201,0,0.000017,1.67E-05,0.0002012819527,0.000218
0x9092164dcde75456862c7ac90c52120fa87094fb,-69060,0,0.000004,-0.000001,0.000001,0.000003,2.95E-06,4.98E-08,0.000003
0x92248678e4dac7b92ca6ad7071f62018eb3cbc5d,-23040,23040,1007.218251,-76.177043,76.177043,931.041208,915.5994684,15.44173958,931.041208
0x9241f27daffd0bb1df4f2a022584dd6c77843e64,-11640,-10980,2,0,0,2,1.966829095,0.03317090467,2
0x9241f27daffd0bb1df4f2a022584dd6c77843e64,-69060,0,1.312767,0.001733,0,1.312767,1.290994165,0.0235058345,1.3145
0x92c29f2d27559bc71c0f1a244b5c854c1728bab9,-14940,-10320,1003.337958,-72.40611,72.40611,930.931848,915.4919222,15.43992579,930.931848
0x92c29f2d27559bc71c0f1a244b5c854c1728bab9,-69060,0,5003.001528,204.347632,0,5003.001528,4920.024485,287.3246754,5207.34916
0x940f5293be23c4d06f9f561f2df79457d3782e1e,-46080,-38940,0.0725,0,0,0.0725,0.07129755471,0.001202445294,0.0725
0x942fec89e62c34ecfb26694654bec567fbdf68b5,-23040,-6960,74.657212,-89.046102,74.657212,0,0,0,0
0x942fec89e62c34ecfb26694654bec567fbdf68b5,-69060,0,570.000913,228.696767,0,570.000913,560.54719,238.15049,798.69768
0x95ae952b0fcbefd6c1013142420641d3c8143b3d,-69060,0,0.860526,-0.000003,0.000003,0.860523,0.8462508368,0.0142721632,0.860523
0x995482968992eee76d163e7a1791cdbb84e12616,-23040,0,18.642593,-67.336775,18.642593,0,0,0,0
0x995482968992eee76d163e7a1791cdbb84e12616,-69060,0,208.654238,-208.654237,208.654237,1.00E-06,9.83E-07,1.66E-08,1.00E-06
0x9959d3cdd5428858501917deabc5c4d236c8542d,-23040,23040,0.000001,0,0,0.000001,9.83E-07,1.66E-08,0.000001
0x997b86481ea10a414ac34acbcf1e3030274a618d,-16080,0,5072.814438,-941.683286,941.683286,4131.131152,4062.614473,68.51667881,4131.131152
0x997b86481ea10a414ac34acbcf1e3030274a618d,-16080,-10980,1.002046,-0.028238,0.028238,0.973808,0.9576569538,0.01615104617,0.973808
0x997b86481ea10a414ac34acbcf1e3030274a618d,-34980,0,1.000531,-0.011834,0.011834,0.988697,0.972299013,0.01639798697,0.988697
0x997b86481ea10a414ac34acbcf1e3030274a618d,-69060,0,5502.000573,329.682578,0,5502.000573,5410.747405,420.9357462,5831.683151
0x99eb80b4702cec059ce3fd8b062efc12d598f81b,-69060,0,0.000583,0.000338,0,0.000583,0.0005733306813,0.0003476693187,0.000921
0x99eb80b4702cec059ce3fd8b062efc12d598f81b,-9960,-6960,0.000001,0,0,0.000001,9.83E-07,1.66E-08,0.000001
0x9eeeecf388480fc47d377885b91edee60d463049,-23040,23040,1007.246351,-76.177043,76.177043,931.069308,915.6271024,15.44220563,931.069308
0xa42fc4ca35dbe3c9c529c6509445fe7664e22bb9,-40080,-12540,0.000001,0,0,0.000001,9.83E-07,1.66E-08,0.000001
0xa42fc4ca35dbe3c9c529c6509445fe7664e22bb9,-40920,5100,0,0,0,0,0,0,0
0xa541682db169aba643476027a8fa85a10e43b4c1,-13080,-6960,0.340018,0,0,0.340018,0.3343786477,0.005639352332,0.340018
0xa541682db169aba643476027a8fa85a10e43b4c1,-69060,0,0.758535,-1.405494,0.758535,0,0,0,0
0xa5ba45f484bc67fe293cf01f7d92d5ba3514dd42,-10980,-6960,1100,0,0,1100,1081.756002,18.24399757,1100
0xa634d9bf6516520e5b73b1bda8809a21cce8764f,-69060,0,0.000002,0.000001,0,0.000002,1.97E-06,1.03E-06,0.000003
0xa65f82af8f544a8c87b2057ab24064d95196aaa1,-16080,0,1.158124,0,0,1.158124,1.13891599,0.0192080104,1.158124
0xa65f82af8f544a8c87b2057ab24064d95196aaa1,-16080,9180,0.200013,0.000094,0,0.200013,0.1966956939,0.003411306078,0.200107
0xa65f82af8f544a8c87b2057ab24064d95196aaa1,-69060,0,0.001142,0.38989,0,0.001142,0.001123059413,0.3899089406,0.391032
0xa8a64e00094e474f7ac439d35fb8065dd6efe9aa,-10980,0,0.35,0,0,0.35,0.3441950917,0.005804908317,0.35
0xa8a64e00094e474f7ac439d35fb8065dd6efe9aa,-13860,-8340,0.030167,-0.00285,0.00285,0.027317,0.0268639352,0.0004530648014,0.027317
0xa8a64e00094e474f7ac439d35fb8065dd6efe9aa,-69060,0,1.738751,-1.632739,1.632739,0.106012,0.104253743,0.001758256973,0.106012
0xa9342dbb10d10bc034c582effce3c2935f0f329b,-69060,0,7.383623,0.002702,0,7.383623,7.261162273,0.1251627273,7.386325
0xac52c1586e5921c2c5da887b0cb7bf1b857c2efe,-69060,0,0.254223,0.007789,0,0.254223,0.2500065966,0.01200540345,0.262012
0xaec19d15f1b6b737c8f374fd90d1f19ca8fcbdeb,3540,6960,1001.8228,0,0,1001.8228,985.2071157,16.6156843,1001.8228
0xaec19d15f1b6b737c8f374fd90d1f19ca8fcbdeb,-69060,0,5035.000605,215.808621,0,5035.000605,4951.492842,299.3163835,5250.809226
0xaf81ebdf68fe7cdcf301d9dfcdc99be1a9bf5c05,-23040,0,0.0069,0,0,0.0069,0.006785560379,0.0001144396211,0.0069
0xb2237f59a8632073155cbc219b7830a00bcd53f3,-69060,0,100.000001,-0.060175,0.060175,99.939826,98.28227878,1.65754722,99.939826
0xb43b2bc6de8c6bac7bce7312d0376c4a71ed35b1,-23040,23040,1004.799496,-76.01144,76.01144,928.788056,913.383686,15.40437003,928.788056
0xb527e950fc7c4f581160768f48b3bfa66a7de1f0,-13860,-10620,51917.24271,-11972.00338,11972.00338,39945.23933,39282.72947,662.5098629,39945.23933
0xb53f22469e342044333e995f82fa2be70d4456fc,-13080,-9180,1,0,0,1,0.9834145477,0.01658545233,1
0xb53f22469e342044333e995f82fa2be70d4456fc,-69060,0,0.422782,0.007508,0,0.422782,0.4157699693,0.01452003071,0.43029
0xbd1572904ef0be1ade8709a4561fa3adf8b5f749,-69060,0,0,0,0,0,0,0,0
0xc1e1d684767e7fab411ce20daa6684f878cd5af5,-13080,-12240,5032.907882,-188.430958,188.430958,4844.476924,4764.129083,80.34784111,4844.476924
0xc1e1d684767e7fab411ce20daa6684f878cd5af5,-16080,9180,0.285145,-0.032306,0.032306,0.252839,0.2486455508,0.004193449183,0.252839
0xc1e1d684767e7fab411ce20daa6684f878cd5af5,-69060,0,0.116059,0.052529,0,0.116059,0.114134109,0.05445389101,0.168588
0xc5a279fe8fcf216d4525a7fbfe050234fddc40db,-23040,0,0.0342,0,0,0.0342,0.03363277753,0.0005672224698,0.0342
0xc726a77353dbc81fc506d71fa6752b8a44b4736d,-69060,0,509,-0.002035,0.002035,508.997965,500.5560035,8.441961487,508.997965
0xc89d0473858fc916283d645f60c21def5cfc9ea3,-34980,0,5.336087,-44.470129,5.336087,0,0,0,0
0xc96b54890f172986f8edc7aec6e8c09a53760526,16080,23040,1001.4705,0,0,1001.4705,984.8606588,16.60984124,1001.4705
0xc96b54890f172986f8edc7aec6e8c09a53760526,-69060,0,5020.001747,207.704943,0,5020.001747,4936.742747,290.9639427,5227.70669
0xcc09e49ce718128e62791938fdf3af436e11a36e,-10980,-6960,0.0829,0,0,0.0829,0.081525066,0.001374933998,0.0829
0xccd2e4419c6960c3779ad37e5f0f2280440c119d,-14220,-12540,0.000001,0,0,0.000001,9.83E-07,1.66E-08,0.000001
0xd1c805676244085838262806ffb92b21421e5b8d,-32580,-32220,554.037159,-33.082394,33.082394,520.954765,512.3144946,8.640270423,520.954765
0xd1c805676244085838262806ffb92b21421e5b8d,-38280,-31800,563.90977,-32.133372,32.133372,531.776398,522.9566459,8.819752101,531.776398
