owner,tickLower,tickUpper,Withdrawable amount,amount
0x3b7a40b70d97a9b508b2e4f6b27656519e14a3ab,-23040,0,0.00175,1750000000000000
0x3b8c3d713b662477bcac27f7aa483fd2577e44c4,-6960,0,0.010704,10704000000000000
0x3c8a541682c74fbb9baa778055102411efac9481,-23040,0,0.005471824913,5471824913065390
0x3cb79687fdf814d917545c679c5e25dc5cedc744,-162480,-161760,0.507477951,507477950997424000
0x3cb79687fdf814d917545c679c5e25dc5cedc744,-43920,-43800,0,0
0x3cb79687fdf814d917545c679c5e25dc5cedc744,-39720,-39540,0,0
0x3cb79687fdf814d917545c679c5e25dc5cedc744,-39540,-39300,0,0
0x3cb79687fdf814d917545c679c5e25dc5cedc744,-39300,-39120,0,0
0x3dc3497c04148436c2201fbae92bbed16749e4bb,-69060,0,0.0000001590387348,159038734837
0x3dd6a6eded02f9dd4ff0f62b15caed949681d00e,-47940,-43680,0.000008005374137,8005374137047
0x3dd81863779991d88d7f186d41b8bea1a569553d,-69060,0,1.215748613,1215748612862050000
0x3e45ba5fd460cff06b6da9efd6dc9eebbf55ccc9,-138480,-53160,0,0
0x3e45ba5fd460cff06b6da9efd6dc9eebbf55ccc9,-69060,0,0,0
0x3e45ba5fd460cff06b6da9efd6dc9eebbf55ccc9,-35400,-26760,0,0
0x3e45ba5fd460cff06b6da9efd6dc9eebbf55ccc9,-34020,-26400,0,0
0x3fe251fa14cce0164c028b62fe4713717f1354b1,-93900,0,0.00001445768845,14457688450955
0x3fe251fa14cce0164c028b62fe4713717f1354b1,-69060,0,0,0
0x3fe251fa14cce0164c028b62fe4713717f1354b1,-24840,0,0,0
0x4059c785dd86a0afc92af9f2d50e1709961c2d39,-13860,-6960,0.053764,53764000000000000
0x40b956472146c250f6f0765afc23e0e21d046ffa,-69060,0,0,0
0x411ef8fe0dc0a5906760611bc41367b97a8b3983,-10980,-6960,0.00001,10000000000000
0x419d98bf9e8e8a30f0e8eb6646af4399888b70ef,-21960,0,0.002,2000000000000000
0x4259ccbdd13541f18b8882f329858cd107255988,-23040,0,0.0006,600000000000000
0x43e28d0279b64ec19c13f098de8d0d14b082c33b,-69060,0,2.189951178,2189951178067970000
0x443eb57b84ba0263bcecc484617fc698f69b99d0,-105960,-34980,0.001052740382,1052740381547540
0x443eb57b84ba0263bcecc484617fc698f69b99d0,-69060,0,0,0
0x443eb57b84ba0263bcecc484617fc698f69b99d0,-36900,-34980,0,0
0x4476a9517a296f1651e693d4e2d0f8aa01c0abda,-69060,0,0,0
0x453c7acfaf75db2058829c85dec4fb5fa1b6e460,-69060,0,0,0
0x4594ac8ccb24ced0ac019edc7a2cf29716221ce2,-76020,0,0.000005824599111,5824599110596
0x4594ac8ccb24ced0ac019edc7a2cf29716221ce2,-69060,0,0,0
0x4594ac8ccb24ced0ac019edc7a2cf29716221ce2,-6960,0,0,0
0x45c70db6a712af7427473a96ee17b44a283bdd62,-10980,-6960,0.00001,10000000000000
0x46031cb4163d71c4ed51056bba7146689e2b9aef,-23040,0,0.001134591207,1134591207114490
0x46a84bc3c1cfb5c77916f059e28d41de928f24d0,-69060,0,0,0
0x47164bba691f0a82b78b9f0ad5f2cba2c1e0d475,-10980,-6960,0.0001,100000000000000
0x4720f4c8af4a8d95afca45f9f2377eff6ba875ca,-29940,0,0.0001595843971,159584397088350
0x478c22ab7779268b81ea19c08058ad17417599d3,-69060,0,3.299318535,3299318534854120000
0x48a0096b26fe285138b294afe0eb1dd705071dca,-118500,-42480,0.0001733041518,173304151830750
0x48a0096b26fe285138b294afe0eb1dd705071dca,-69060,0,0,0
0x48a0096b26fe285138b294afe0eb1dd705071dca,-49440,-42480,0,0
0x49d9148dad38afb5a6999c03284f9275b1e36735,-69060,0,0,0
0x4a156fc090a1e815165a014f8380591f1b7953dc,-16080,0,0.001,1000000000000000
0x4a26dced4e79781de06a51f4c7e6e0f0a92fce5d,-10980,-6960,0.000001,1000000000000
0x4a60a526c642ce63cf3af8ff68b3f5f222611fbe,-69060,0,0,0
0x4a9d309cd1217d267631ed97d2e0b07240b527ed,-103080,-27060,0,0
0x4a9d309cd1217d267631ed97d2e0b07240b527ed,-69060,0,0,0
0x4a9d309cd1217d267631ed97d2e0b07240b527ed,-34020,-27060,0,0
0x4b41aaca6ba3f29c48b3a2313687b24e77467d9e,-69060,0,0.000000462459398,462459398048
0x4bbc9d010bc90b21464612b65929d04ad93b1ddf,-69060,0,0,0
0x4bd7a14ce0d35e01d04160d8f4da0ee14bea7d90,-76020,0,0.000006284662366,6284662366141
0x4bd7a14ce0d35e01d04160d8f4da0ee14bea7d90,-69060,0,0,0
0x4bd7a14ce0d35e01d04160d8f4da0ee14bea7d90,-6960,0,0,0
0x4c6f62d13ec8861f7aa1d9a9ddd3c944d42cedaa,-10980,-6960,0.000001,1000000000000
0x4cb75146e98562c9d79b31649c6c739e4dcb7cd5,-115020,23040,0.001589091968,1589091967991140
0x4cb75146e98562c9d79b31649c6c739e4dcb7cd5,-69060,0,0,0
0x4cb75146e98562c9d79b31649c6c739e4dcb7cd5,-45960,23040,0,0
0x4d2192720344a77068af56058466967ab801544d,-69060,0,0,0
0x4d51a39b4b74502cc5016e15e9106327936e3c5c,-180300,-62580,0,0
0x4d51a39b4b74502cc5016e15e9106327936e3c5c,-69060,0,0,0
0x4d51a39b4b74502cc5016e15e9106327936e3c5c,-45000,-29940,0,0
0x4d51a39b4b74502cc5016e15e9106327936e3c5c,-34020,-25680,0,0
0x4d51a39b4b74502cc5016e15e9106327936e3c5c,-32220,-6960,0,0
0x4e6b8b4a8c021570f81dc51c31da13d857afbd7b,-6960,0,0.009,9000000000000000
0x4e9868bfc9daad7df9e765b437e242fe9ecb9d85,-10980,-6960,0.0001,100000000000000
0x4f2fc9e8464161f0b7ee6c7357f4b789dbd2169e,-76020,0,0.000003427562084,3427562083534
0x4f2fc9e8464161f0b7ee6c7357f4b789dbd2169e,-69060,0,0,0
0x4f2fc9e8464161f0b7ee6c7357f4b789dbd2169e,-6960,0,0,0
0x4f75ba286857f3721e30be5f0d4988acf9ee68ba,-69060,0,0.0000002966264264,296626426400
0x4fecce1be339db44a4fd36f2fef18c6401ac2f8b,-21960,-19860,0.001,1000000000000000
0x5021a4ea6b544214ae6ed0e344f89255d85ba627,-92100,-21960,0,0
0x5021a4ea6b544214ae6ed0e344f89255d85ba627,-69060,0,0,0
0x5021a4ea6b544214ae6ed0e344f89255d85ba627,-23040,-21960,0,0
0x507db42e7274db9b41aaecd57aa14c33d49e001d,-24000,0,0.00044,440000000000000
0x508b5bab9fa2bc3ebb6238e762b52016d10c6a7f,-23040,0,0.00128,1280000000000000
0x50d0969affc14f9ec892f5395ffd56e015c8103c,-92100,0,0.001457623669,1457623669198650
0x50d0969affc14f9ec892f5395ffd56e015c8103c,-69060,0,0,0
0x50d0969affc14f9ec892f5395ffd56e015c8103c,-23040,0,0,0
0x511fc663d191b80b0d8bdab0a296b869fba6e362,-69060,0,0,0
0x52389c41efe5b2146e6d8863cd2f08f9347f1d60,-92100,0,0.0001121123507,112112350656654
0x52389c41efe5b2146e6d8863cd2f08f9347f1d60,-69060,0,0,0
0x52389c41efe5b2146e6d8863cd2f08f9347f1d60,-23040,0,0,0
